incident_characteristics,incident_id,date,state,city_or_county,address,n_killed,n_injured,latitude,location_description,longitude,n_guns_involved
"Shot - Dead (murder, accidental, suicide)||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator killed||Defensive Use",181649,2014-01-25,California,Lodi,Elderica Way and Paradise Drive,1,0,38.1333,,-121.311,
"Shot - Dead (murder, accidental, suicide)",100931,2014-01-25,California,Sacramento,6300 block of Hermosa Street,1,0,38.5118,,-121.481,
"Shot - Dead (murder, accidental, suicide)||Drug involvement",101046,2014-01-25,California,Valley Glen,5800 Fulton Avenue / Los Angeles Valley College,1,0,34.1759,,-118.421,
"Shot - Dead (murder, accidental, suicide)||Drive-by (car to street, car to car)",101308,2014-01-26,California,Norwalk,Rosecrans Avenue ,1,0,33.9023,,-118.078,
"Shot - Dead (murder, accidental, suicide)||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator killed",183193,2014-01-26,California,Yuba City,Wilbur Avenue,1,0,39.1296,,-121.611,
"Shot - Dead (murder, accidental, suicide)",174320,2014-01-26,California,Inglewood,800 South Ash Avenue,1,0,33.9535,,-118.368,
"Shot - Dead (murder, accidental, suicide)",101333,2014-01-26,California,Redding,,1,0,40.5613,,-122.401,
"Shot - Dead (murder, accidental, suicide)",101290,2014-01-27,California,Fresno,Harvard and Marty,1,0,36.773,,-119.857,
"Shot - Dead (murder, accidental, suicide)",101285,2014-01-27,California,Desert Hot Springs,Desert View Avenue ,1,0,33.9578,,-116.501,
"Shot - Dead (murder, accidental, suicide)",102302,2014-01-27,California,Twentynine Palms,Palm View Avenue ,1,0,34.1377,,-116.047,
"Shot - Dead (murder, accidental, suicide)||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator killed||Kidnapping/abductions/hostage||Implied Weapon||Defensive Use",101026,2014-01-27,California,Escondido,Country Club Lane,1,0,33.1576,,-117.114,
"Shot - Dead (murder, accidental, suicide)",101325,2014-01-27,California,Oakland,3434 High St,1,0,37.786,Walgreens,-122.196,1.0
"Shot - Dead (murder, accidental, suicide)||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator killed||Officer Involved Shooting - subject/suspect/perpetrator unarmed",101283,2014-01-27,California,Coachella,4800 block of Camino Real,1,0,33.6968,,-116.209,1.0
"Shot - Dead (murder, accidental, suicide)",101600,2014-01-27,California,Oakland,3434 High St.,1,0,37.786,,-122.196,
"Shot - Dead (murder, accidental, suicide)||Gang involvement",113611,2014-01-28,California,Desert Hot Springs,Cahuilla Avenue and Buena Vista Avenue,1,0,33.9596,,-116.51,
"Shot - Dead (murder, accidental, suicide)||Suicide^||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator suicide at standoff",101674,2014-01-28,California,Sacramento,Folsom Boulevard,1,0,38.5526,,-121.376,
"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)",114723,2014-01-28,California,Apple Valley, 20000 block of Serrano Road,1,1,34.5329,,-117.228,
"Shot - Dead (murder, accidental, suicide)",102322,2014-01-28,California,Livingston,Sheesley Rd,1,0,37.3707,,-120.691,1.0
"Shot - Dead (murder, accidental, suicide)",101672,2014-01-28,California,Rancho Cordova,Rockingham Drive ,1,0,38.5757,,-121.301,
"Shot - Dead (murder, accidental, suicide)",102196,2014-01-29,California,Rancho Cordova,Rockingham Drive and Mather Field Road,1,0,38.5749,,-121.304,
"Shot - Dead (murder, accidental, suicide)",101975,2014-01-29,California,Coachella,Avenue 52 and Tripoli Way ,1,0,33.6709,,-116.18,
"Shot - Dead (murder, accidental, suicide)||Gang involvement",102306,2014-01-30,California,Fresno,Highway 180 offramp to Fulton Street,1,0,36.7319,,-119.788,
"Shot - Dead (murder, accidental, suicide)||Drug involvement||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator killed",102304,2014-01-30,California,El Centro,Woodward Avenue,1,0,32.7993,,-115.561,
"Shot - Dead (murder, accidental, suicide)||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator killed",102310,2014-01-30,California,Santa Clarita,Shangri-La and Soledad Canyon Road ,1,0,34.416,,-118.459,
"Shot - Dead (murder, accidental, suicide)||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator killed",102556,2014-01-31,California,Vista,South Melrose Drive,1,0,33.1681,,-117.248,
"Shot - Dead (murder, accidental, suicide)||Drug involvement||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator killed||Implied Weapon",183268,2014-01-31,California,Vista,South Melrose Drive near Shadowridge Drive,1,0,33.1611,,-117.242,
"Shot - Dead (murder, accidental, suicide)",103373,2014-01-31,California,Visalia,South Lovers Lane,1,0,36.3087,,-119.261,
"Shot - Dead (murder, accidental, suicide)",103045,2014-02-01,California,Oakland,920 24th Street,2,0,37.8162,Boys and Girls Clubs of Oakland,-122.279,1.0
"Shot - Dead (murder, accidental, suicide)",103260,2014-02-02,California,Vallejo,500 block of San Antonio Way,1,0,38.0893,,-122.235,
"Shot - Dead (murder, accidental, suicide)",173111,2014-02-02,California,Pomona,631 New York Drive,1,0,34.0631,,-117.782,
"Shot - Dead (murder, accidental, suicide)||Drive-by (car to street, car to car)",103746,2014-02-02,California,Los Angeles,Abourne Road,1,0,34.0114,,-118.345,
"Shot - Dead (murder, accidental, suicide)||Gang involvement||Bar/club incident - in or around establishment",114684,2014-02-02,California,Pinole,San Pablo Avenue,1,0,38.0041,,-122.293,
"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)",103380,2014-02-03,California,Boyle Heights,2119 East Cesar E. Chavez Avenue,1,1,34.0482,,-118.211,
"Shot - Dead (murder, accidental, suicide)",174313,2014-02-03,California,Los Angeles,9010 Tobias Avenue,1,0,34.2336,,-118.451,
"Shot - Dead (murder, accidental, suicide)",104009,2014-02-04,California,Fresno,Florence and G,1,0,36.7178,,-119.78,
"Shot - Dead (murder, accidental, suicide)||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator killed||Brandishing/flourishing/open carry/lost/found",104018,2014-02-04,California,Hayward,21701 Foothill Boulevard,1,0,37.6824,,-122.089,
"Shot - Dead (murder, accidental, suicide)",104071,2014-02-04,California,San Francisco,25th and Connecticut streets,1,0,37.7523,,-122.397,
"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)",104284,2014-02-05,California,Los Angeles,8825 South Vermont Avenue ,1,1,33.9576,,-118.293,
"Shot - Dead (murder, accidental, suicide)",104291,2014-02-05,California,San Jacinto,South San Jacinto Avenue ,1,0,33.773,,-116.959,
"Shot - Dead (murder, accidental, suicide)",104841,2014-02-06,California,San Pablo,Dover Avenue,1,0,37.959,,-122.349,
"Shot - Dead (murder, accidental, suicide)",105532,2014-02-07,California,Stockton,March Lane and West Lane,1,0,38.0021,,-121.291,
"Shot - Dead (murder, accidental, suicide)",104740,2014-02-07,California,Tehachapi,Highway 58 and Broome Road ,1,0,35.1993,,-118.521,
"Shot - Dead (murder, accidental, suicide)",104764,2014-02-07,California,Los Angeles,5307 South Budlong Avenue ,1,0,33.994,,-118.296,
"Shot - Dead (murder, accidental, suicide)",104781,2014-02-07,California,Paso Robles,Klau Mine Ride ,1,1,35.6369,,-120.655,
"Shot - Dead (murder, accidental, suicide)",174302,2014-02-07,California,Los Angeles,Florence Avenue and Seville Avenue,1,0,33.9739,,-118.222,
"Shot - Dead (murder, accidental, suicide)",104948,2014-02-07,California,Los Angeles,325 Adams Boulevard ,1,0,34.0267,,-118.273,
"Shot - Dead (murder, accidental, suicide)",174300,2014-02-08,California,Baldwin Park,Whitesell Street and Virginia Avenue,1,0,34.0679,,-117.975,
"Shot - Dead (murder, accidental, suicide)",105631,2014-02-08,California,Oakland,1700 block of 103rd Ave,1,0,37.7417,,-122.165,1.0
"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Home Invasion||Home Invasion - subject/suspect/perpetrator killed||Home Invasion - subject/suspect/perpetrator injured||Armed robbery with injury/death and/or evidence of DGU found",105573,2014-02-09,California,Hayward,Western Boulevard ,1,1,37.678,,-122.099,
"Shot - Dead (murder, accidental, suicide)||Gang involvement",105593,2014-02-09,California,Watsonville,,1,0,36.9267,,-121.769,
"Shot - Dead (murder, accidental, suicide)",174295,2014-02-09,California,Los Angeles,,1,0,33.9776,,-118.255,
"Shot - Dead (murder, accidental, suicide)||Suicide^||Murder/Suicide||Domestic Violence",206162,2014-02-09,California,Helendale,27200 block of Silver Lakes Parkway,2,0,34.7439,,-117.352,
"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Domestic Violence",105520,2014-02-09,California,San Juan Capistrano,32171 Peppertree Bend,2,1,33.5011,,-117.681,1.0
"Shot - Dead (murder, accidental, suicide)",105439,2014-02-09,California,San Pablo,,1,0,37.9694,,-122.293,
"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)",105683,2014-02-09,California,Los Angeles,Shatto Place and Wilshire Boulevard,1,2,34.0618,,-118.29,
"Shot - Dead (murder, accidental, suicide)||ShotSpotter",935185,2014-02-10,California,Oakland,1400 block of 88th Ave,1,0,37.7511,,-122.175,1.0
"Shot - Dead (murder, accidental, suicide)||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator killed",181958,2014-02-10,California,Tustin,Red Hill Avenue and Nisson Road,1,0,33.7328,,-117.816,
"Shot - Dead (murder, accidental, suicide)",174289,2014-02-10,California,Los Angeles,13700 Burbank Boulevard,1,0,34.1721,,-118.432,
